H1305:1
H1306:1
H1307:1
H1308:1
LOGO_OPEN_HARDWARE101:1
P1:1
P2:1
R312:1
R314:1
R315:1
R316:1
R317:1
R318:1
SW201:1
TH1301:1
TH1302:1
U201:1
U202:1
U203:1
U205:1
UART3:1
UART4:1
Y10:1
Y19:1
